date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:37:03	321/321	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:03%20GMT	https://www.mineimator.com/dl/mineimator-1.2.6-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.6-zip	(from https://www.mineimator.com/download)
12:37:04	327/327	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:03%20GMT	https://www.mineimator.com/dl/mineimator-1.2.5-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.5-installer	(from https://www.mineimator.com/download)
12:37:04	321/321	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:03%20GMT	https://www.mineimator.com/dl/mineimator-1.2.5-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.5-zip	(from https://www.mineimator.com/download)
12:37:04	327/327	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:03%20GMT	https://www.mineimator.com/dl/mineimator-1.2.4-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.4-installer	(from https://www.mineimator.com/download)
12:37:04	321/321	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:04%20GMT	https://www.mineimator.com/dl/mineimator-1.2.4-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.4-zip	(from https://www.mineimator.com/download)
12:37:05	327/327	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:04%20GMT	https://www.mineimator.com/dl/mineimator-1.2.3-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.3-installer	(from https://www.mineimator.com/download)
12:37:05	321/321	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:04%20GMT	https://www.mineimator.com/dl/mineimator-1.2.3-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.3-zip	(from https://www.mineimator.com/download)
12:37:05	327/327	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:05%20GMT	https://www.mineimator.com/dl/mineimator-1.2.2-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.2-installer	(from https://www.mineimator.com/download)
12:37:05	321/321	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:05%20GMT	https://www.mineimator.com/dl/mineimator-1.2.2-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.2-zip	(from https://www.mineimator.com/download)
12:37:06	327/327	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:05%20GMT	https://www.mineimator.com/dl/mineimator-1.2.1-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.1-installer	(from https://www.mineimator.com/download)
12:37:06	321/321	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:05%20GMT	https://www.mineimator.com/dl/mineimator-1.2.1-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.1-zip	(from https://www.mineimator.com/download)
12:37:06	321/321	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:06%20GMT	https://www.mineimator.com/dl/mineimator-1.2.0-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.0-zip	(from https://www.mineimator.com/download)
12:37:07	345/345	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:06%20GMT	https://www.mineimator.com/dl/mineimator-1.2.0%20PRE-RELEASE%203-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.0%20PRE-RELEASE%203-installer	(from https://www.mineimator.com/download)
12:37:07	339/339	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:06%20GMT	https://www.mineimator.com/dl/mineimator-1.2.0%20PRE-RELEASE%203-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.0%20PRE-RELEASE%203-zip	(from https://www.mineimator.com/download)
12:37:07	345/345	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:06%20GMT	https://www.mineimator.com/dl/mineimator-1.2.0%20PRE-RELEASE%202-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.0%20PRE-RELEASE%202-installer	(from https://www.mineimator.com/download)
12:37:07	339/339	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:07%20GMT	https://www.mineimator.com/dl/mineimator-1.2.0%20PRE-RELEASE%202-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.0%20PRE-RELEASE%202-zip	(from https://www.mineimator.com/download)
12:37:08	341/341	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:07%20GMT	https://www.mineimator.com/dl/mineimator-1.2.0%20PRE-RELEASE-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.0%20PRE-RELEASE-installer	(from https://www.mineimator.com/download)
12:37:09	335/335	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:08%20GMT	https://www.mineimator.com/dl/mineimator-1.2.0%20PRE-RELEASE-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.2.0%20PRE-RELEASE-zip	(from https://www.mineimator.com/download)
12:37:09	327/327	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:08%20GMT	https://www.mineimator.com/dl/mineimator-1.1.4-installer	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.1.4-installer	(from https://www.mineimator.com/download)
12:37:09	321/321	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:08%20GMT	https://www.mineimator.com/dl/mineimator-1.1.4-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.1.4-zip	(from https://www.mineimator.com/download)
12:37:10	321/321	---M--	302	error ('Found')	text/html	date:Mon,%2022%20Jul%202024%2007:37:09%20GMT	https://www.mineimator.com/dl/mineimator-1.1.3-zip	D:/spigottt/mine-imator/www.mineimator.com/dl/mineimator-1.1.3-zip	(from https://www.mineimator.com/download)
